cluster,student_count,bus_stop_lat,bus_stop_lon
0,5,12.93563336,79.16448914
1,5,12.502396,79.6027108
2,7,13.10796868,79.43641879
3,3,13.3254557,79.90469158
4,3,12.67559066,79.5362714
5,3,13.18259223,79.75983332
6,10,13.17943336,79.61140227
7,4,12.68034707,79.66368549
8,4,12.92341188,79.87487117
9,2,13.01307808,79.64540427
10,10,12.9579503,79.94331633
11,6,13.07196914,79.6716091
